tool,repo,bomFormat_exist,bomFormat_true_exist,specVersion_exist,specVersion_true_exist,version_exist,version_true_exist,serialNumber_exist,serialNumber_true_exist,timestamp_exist,timestamp_true_exist,tools_exist,tools_true_exist,name_com_exist,name_com_true_exist,version_com,version_com_true_exist,bom_ref_com_exist,bom_ref_com_true_exist,names_exist,names_true_exist,author_exist,author_true_exist,type_exist,type_true_exist,bom_ref_exist,bom_ref_true_exist,purl_exist,purl_true_exist,cpe_exist,cpe_true_exist,licenses_exist,licenses_true_exist,version_exist,version_true_exist,copyright_exist,copyright_true_exist
gh-sbom,Tautulli,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,78,78,0,0,78,78,0,0,78,78,0,0,51,51,78,78,0,0
gh-sbom,tensorflow-101,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,3,3,0,0
gh-sbom,autopep8,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,8,8,0,0,8,8,0,0,8,8,0,0,0,0,8,8,0,0
gh-sbom,rengine,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,47,47,0,0,47,47,0,0,47,47,0,0,32,32,47,47,0,0
gh-sbom,flask-restless,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,12,12,0,0,12,12,0,0,12,12,0,0,1,1,12,12,0,0
gh-sbom,onnx-tensorflow,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,6,0,0,0,0,6,6,0,0
gh-sbom,web3,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,15,15,0,0,15,15,0,0,15,15,0,0,0,0,15,15,0,0
gh-sbom,Kin,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,8,8,0,0,8,8,0,0,8,8,0,0,2,2,8,8,0,0
gh-sbom,qgrid,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,25,25,0,0,25,25,0,0,25,25,0,0,14,14,25,25,0,0
gh-sbom,AlexaPi,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,44,44,0,0,44,44,0,0,44,44,0,0,32,32,44,44,0,0
gh-sbom,AdaBound,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,3,0,0,0,0,3,3,0,0
gh-sbom,sslyze,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,21,21,0,0,21,21,0,0,21,21,0,0,2,2,21,21,0,0
gh-sbom,TensorFlow-and-DeepLearning-Tutorial,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0
gh-sbom,iepy,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,2,2,0,0
gh-sbom,linkchecker,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,2,2,0,0
gh-sbom,deepface,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,21,21,0,0,21,21,0,0,21,21,0,0,0,0,21,21,0,0
gh-sbom,ryu,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,3,0,0,1,1,3,3,0,0
gh-sbom,agate,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,13,13,0,0,13,13,0,0,13,13,0,0,0,0,13,13,0,0
gh-sbom,pokeapi,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,29,29,0,0,29,29,0,0,29,29,0,0,17,17,29,29,0,0
gh-sbom,logster,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0
gh-sbom,zhihu-python,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,5,0,0,0,0,5,5,0,0
gh-sbom,slack-overflow,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,2,2,0,0
gh-sbom,sheetfu,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,5,0,0,1,1,5,5,0,0
gh-sbom,plan,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0
gh-sbom,CouchPotatoServer,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,23,23,0,0,23,23,0,0,23,23,0,0,14,14,23,23,0,0
gh-sbom,lightNLP,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,11,11,0,0,11,11,0,0,11,11,0,0,0,0,11,11,0,0
gh-sbom,igbot,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,59,59,0,0,59,59,0,0,59,59,0,0,26,26,59,59,0,0
gh-sbom,pyzmq,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,30,30,0,0,30,30,0,0,30,30,0,0,1,1,30,30,0,0
gh-sbom,shinken,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,14,14,0,0,14,14,0,0,14,14,0,0,8,8,14,14,0,0
gh-sbom,python-mingus,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0
gh-sbom,nlp-architect,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,105,105,0,0,105,105,0,0,105,105,0,0,85,85,105,105,0,0
