repo_name,repo_name_meta,repo_version,comp_num1,comp_num2,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
disunity,0,0.0,12,9,9,0.0,0.0,1.0,0.0,0.42592592592592593,1.0
ik-analyzer-solr,0,0.0,7,5,3,0.0,0.0,1.0,0.0,0.03333333333333333,1.0
simpleimage,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
toBeBetterJavaer,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
java-apns,0,0.0,16,17,7,0.0,0.0,1.0,0.0,0.32857142857142857,1.0
APIKit,0,0.0,6,6,5,0.0,0.0,1.0,0.0,0.6133333333333333,1.0
renren-security,0,0.0,48,197,43,0.0,0.0,0.9773053354099192,0.0,0.42451256753582334,0.7906976744186046
modelmapper,0,0.0,64,68,22,0.0,0.0,0.9562346013000866,0.0,0.41636696636696635,0.9048347107438016
tinyid,0,0.0,14,56,8,0.0,0.0,1.0,0.0,0.675,1.0
spider,0,0.0,40,97,37,0.0,0.0,0.9394358127416375,0.0,0.4349849849849849,0.7567567567567568
PushTalk,0,0.0,16,21,14,0.0,0.0,1.0,0.0,0.6496598639455781,1.0
brigadier,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LeetCodeAnimation,0,0.0,1,2,1,0.0,0.0,0.34210526315789475,0.0,0.0,0.0
dubbo-spring-boot-starter,0,0.0,11,39,6,0.0,0.0,0.7751097758936808,0.0,0.041666666666666664,0.16666666666666666
algorithms-sedgewick-wayne,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
weixin-java-mp-demo,0,0.0,12,105,10,0.0,0.0,0.9401112155388471,0.0,0.3833333333333333,0.47333333333333333
AirMapView,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
community,0,0.0,21,89,15,0.0,0.0,0.9359738787672082,0.0,0.2529100529100529,0.6666666666666666
Pixiv-Shaft,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ssm-demo,0,0.0,31,41,29,0.0,0.0,1.0,0.0,0.4460043787629995,1.0
Mybatis-Spring,0,0.0,32,50,30,0.0,0.0,0.9234242588347761,0.0,0.39777777777777784,0.7
Mp4Composer-android,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Resty,0,0.0,43,63,20,0.0,0.0,1.0,0.0,0.33761904761904765,1.0
FlatLaf,0,0.0,9,21,0,0.0,0.0,0.0,0.0,0.0,0.0
vlcj,0,0.0,14,2,0,0.0,0.0,0.0,0.0,0.0,0.0
Seckill,0,0.0,21,118,20,0.0,0.0,0.9382246315825086,0.0,0.24333333333333335,0.55
Demos,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
leveldb,0,0.0,15,15,7,0.0,0.0,0.918541908633372,0.0,0.41666666666666663,0.5714285714285714
Java,0,0.0,26,12,5,0.0,0.0,0.920380018475657,0.0,0.4666666666666666,0.7589255450431921
zookeeper,0,0.0,2,12,2,0.0,0.0,1.0,0.0,1.0,1.0
e5,0,0.0,25,127,22,0.0,0.0,0.9341660989053725,0.0,0.30238095238095236,0.5413875598086124
hackpad,0,0.0,1,1,1,0.0,0.0,0.525,0.0,0.0,1.0
nutz,0,0.0,42,54,19,0.0,0.0,0.9783281733746131,0.0,0.3516045014497027,0.9759976865240023
voldemort,0,0.0,2,2,2,0.0,0.0,0.7596153846153846,0.0,0.0,0.32666666666666666
TarsosDSP,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Packages,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
